text,label
아 더빙.. 진짜 짜증나네요. 목소리가 너무 과하지 않아서 괜찮았어요. ,1
흠...포스터보고 초딩영화줄....오버연기조차 가볍지 않구나. 이 영화는 초등학교생들이 좋아할만한 내용을 담은 것 같습니다. 감독과 배우들은 오버연기를 너무 잘 해서 입체적인 캐릭터들을 만들어냈습니다. 초딩 시절을 그리워하는 사람들이나 가벼운 분위기를 원하는 시청자들에게 추천합니다.,1
엄청 재밌었다 그래서 보는 것을 추천한다.,1
교도소 이야기구먼..솔직히 재미는 없다..평점 조정과 비슷한 리뷰를 하나만 작성해보자. 이 영화는 매력이 없고 흥미를 끌지 못한다. 평점을 낮춰야 할 것 같다.,1
사이몬페그의 상큼한 연기가 돋보였던 영화!스파이더맨에서 어렸어 하지만 매우 매력적으로 보였던 커스틴 던스트가 너무나도 아름답게 보였다.,1
"3세부터 1학년생인 8살용 영화였지만 막 걸음마를 뗀 아이들에게는 적합했던 작품입니다.ㅋㅋㅋ...포인트 정도는 주고 싶지만, 아쉽게도 별반개는 아까웠습니다.",1
긴장감을 충분히 전달하지 못한 것 같다.,1
"연기에 대한 비판적인 감정이 강하게 나타난다. 이응경과 길용우의 연기력과 연기 경력에 대한 의문이 제기되며, 납치와 감금 등의 장면이 지루하게 반복된다고 느껴진다. 가족의 존재감이 없는 이 드라마는 연기력이 부족한 사람들만 모인 것 같다.",1
감동도 없는데도 흥미로운 몇 안 되는 책,1
"왜평이 낮은지 모르겠다. 오히려 이 영화는 굉장히 볼만하다고 생각하는데, 사람들은 아마도 헐리우드식의 화려함에 너무 많이 치우쳐져 있다는 게 아닐까?",1
"걍 인피니트가 짱이다! 진짜 짱이다♥ 저도 완전히 동감합니다. 인피니트는 정말 대단한 그룹이죠. 매번 그들의 음악과 무대에 매료되고, 무한 매력에 빠지게 됩니다. 인피니트 사랑해요!",1
"바라볼 때마다 향수의 냄새와 함께 눈물이 완전히 나 혼자 사라지는 순간, 90년대의 향수가 잠시 돌아온 것 같은 기분이어서 죽겠다! 허진호 감독의 감성절제멜로에 정말 깊게 몰입할 수 있었다. 그의 감정 표현은 정말 일품이라고 할 수 있다.",1
"이범수의 연기는 현실감을 전달하지 못했으며, 특히 울면서 손들고 횡단보도 건널때 뛰쳐나올뻔 하는 장면에서의 표현력은 부족했다. 다른 작품과 비교해보면 이번 작품에서 그의 연기는 드럽게 아쉬웠다.",1
담백하고 청결한 느낌이 좋아요. 신문기사만 읽다보면 가끔 그들도 사람이란 것을 잊게 됩니다.,1
취향은 존중하지만 정말 내 생에 극장에서 본 영화 중 가장 노잼 노감동인 것 같아요. 스토리도 어거지고 감동도 어거지해서 좀 실망스러웠어요.,1
항상 긴장되고 흥미로운 기분이 들어 매번 즐거움을 느껴요ㅠㅠ,1
"이 영상을 보면서 웃을 수밖에 없었습니다. 바스코가 이길 때는 바로 ""락스코라고!""라고 외치고 싶었고, 바비가 이길 때는 ""아이돌이야!""라고 소리쳤습니다. 웃으면서도 까고싶은 마음이 들어 안달난 것처럼 보인 거 같아요. 그런데 이런 재미있는 리뷰를 작성하면서 나도 웃을 수 있었어요. 추천합니다!",1
